,taxon,cen.dna,cen.silica,mimobaits,nit.fix,nit.fix.dna
1,Piptadeniastrum,NA,NA,NA,NA,NA
2,Piptadenia,NA,NA,NA,NA,NA
3,Mimosa,NA,NA,NA,NA,NA
4,Neptunia,NA,NA,NA,NA,NA
5,Adenopodia,NA,NA,NA,NA,NA
6,Piptadenia santosii,NA,NA,NA,NA,NA
7,Piptadenia imatacae,NA,NA,NA,NA,NA
8,Piptadenia laxipinna,NA,NA,NA,NA,NA
9,Piptadenia floribunda,NA,NA,NA,NA,NA
10,Piptadenia amazonica,NA,NA,NA,NA,NA
11,Piptadenia uliginosa,NA,NA,NA,NA,NA
12,Piptadenia anolidurus,NA,NA,NA,NA,NA
13,Piptadenia weberbaueri,NA,NA,NA,NA,NA
14,Piptadenia cuzcoensis,NA,NA,NA,NA,NA
15,Piptadenia irwinii,NA,NA,NA,NA,NA
16,Piptadenia micracantha,NA,NA,NA,NA,NA
17,Piptadenia retusa,NA,NA,NA,NA,NA
18,Piptadenia ramosissima,NA,NA,NA,NA,NA
19,Piptadenia minutiflora,NA,NA,NA,NA,NA
20,Piptadenia boliviana,NA,NA,NA,NA,NA
21,Piptadenia voronoffii,NA,NA,NA,NA,NA
22,Piptadenia peruviana,NA,NA,NA,NA,NA
23,Piptadenia pteroclada,NA,NA,NA,NA,NA
24,Piptadenia affinis,NA,NA,NA,NA,NA
25,Piptadenia killipii,NA,NA,NA,NA,NA
26,Mimosa guaiaguilensis,NA,NA,NA,NA,NA
27,Mimosa rhombifolia,NA,NA,NA,NA,NA
28,Mimosa ouyrarema,NA,NA,NA,NA,NA
29,Mimosa pilosa,NA,NA,NA,NA,NA
30,Mimosa trinervis,NA,NA,NA,NA,NA
31,Mimosa rhodacantha,NA,NA,NA,NA,NA
32,Mimosa natans,NA,NA,NA,NA,NA
33,Mimosa fruticosa,NA,NA,NA,NA,NA
34,Mimosa dichotoma,NA,NA,NA,NA,NA
35,Mimosa diadema,NA,NA,NA,NA,NA
36,Mimosa chrysantha,NA,NA,NA,NA,NA
37,Mimosa lentiscifolia,NA,NA,NA,NA,NA
38,Mimosa barrancana,NA,NA,NA,NA,NA
39,Mimosa fagaracantha,NA,NA,NA,NA,NA
40,Mimosa longiracemosa,NA,NA,NA,NA,NA
41,Mimosa detonsa,NA,NA,NA,NA,NA
42,Mimosa parvifoliolata,NA,NA,NA,NA,NA
43,Mimosa kitrokala,NA,NA,NA,NA,NA
44,Mimosa australis,NA,NA,NA,NA,NA
45,Mimosa epitropica,NA,NA,NA,NA,NA
46,Mimosa tucumensis,NA,NA,NA,NA,NA
47,Mimosa widgrenii,NA,NA,NA,NA,NA
48,Mimosa altoparanensis,NA,NA,NA,NA,NA
49,Mimosa chochisensis,NA,NA,NA,NA,NA
50,Mimosa asperoides,NA,NA,NA,NA,NA
51,Mimosa dupuyana,NA,NA,NA,NA,NA
52,Mimosa lemniscata,NA,NA,NA,NA,NA
53,Mimosa brevipes,NA,NA,NA,NA,NA
54,Mimosa haavoa,NA,NA,NA,NA,NA
55,Mimosa cubatanensis,NA,NA,NA,NA,NA
56,Mimosa puberula,NA,NA,NA,NA,NA
57,Mimosa eriocarpa,NA,NA,NA,NA,NA
58,Mimosa tetragona,NA,NA,NA,NA,NA
59,Mimosa diplacantha,NA,NA,NA,NA,NA
60,Mimosa exalbescens,NA,NA,NA,NA,NA
61,Mimosa centurionis,NA,NA,NA,NA,NA
62,Mimosa jaenensis,NA,NA,NA,NA,NA
63,Mimosa intricata,NA,NA,NA,NA,NA
64,Mimosa implexa,NA,NA,NA,NA,NA
65,Mimosa ramentacea,NA,NA,NA,NA,NA
66,Mimosa hypnodes,NA,NA,NA,NA,NA
67,Mimosa sobralii,NA,NA,NA,NA,NA
68,Mimosa mitzi,NA,NA,NA,NA,NA
69,Mimosa cordobensis,NA,NA,NA,NA,NA
70,Mimosa aureliana,NA,NA,NA,NA,NA
71,Mimosa leptantha,NA,NA,NA,NA,NA
72,Mimosa setistipula,NA,NA,NA,NA,NA
73,Mimosa brachystachya,NA,NA,NA,NA,NA
74,Mimosa lundiana,NA,NA,NA,NA,NA
75,Mimosa rocae,NA,NA,NA,NA,NA
76,Mimosa caccavariana,NA,NA,NA,NA,NA
77,Mimosa struthionoptera,NA,NA,NA,NA,NA
78,Mimosa hirsuticaulis,NA,NA,NA,NA,NA
79,Mimosa setuliseta,NA,NA,NA,NA,NA
80,Mimosa porrecta,NA,NA,NA,NA,NA
81,Mimosa alleniana,NA,NA,NA,NA,NA
82,Mimosa surumuensis,NA,NA,NA,NA,NA
83,Mimosa vexans,NA,NA,NA,NA,NA
84,Mimosa decumbens,NA,NA,NA,NA,NA
85,Mimosa itatiaiensis,NA,NA,NA,NA,NA
86,Mimosa cuzcoana,NA,NA,NA,NA,NA
87,Mimosa bombycina,NA,NA,NA,NA,NA
88,Mimosa glabra,NA,NA,NA,NA,NA
89,Mimosa nossibiensis,NA,NA,NA,NA,NA
90,Mimosa chaetosphaera,NA,NA,NA,NA,NA
91,Mimosa simplicissima,NA,NA,NA,NA,NA
92,Mimosa dumetaria,NA,NA,NA,NA,NA
93,Mimosa tweedieana,NA,NA,NA,NA,NA
94,Mimosa falcipinna,NA,NA,NA,NA,NA
95,Mimosa disperma,NA,NA,NA,NA,NA
96,Mimosa pedunculosa,NA,NA,NA,NA,NA
97,Mimosa morongii,NA,NA,NA,NA,NA
98,Mimosa humifusa,NA,NA,NA,NA,NA
99,Mimosa neonitens,NA,NA,NA,NA,NA
100,Mimosa ostenii,NA,NA,NA,NA,NA
101,Mimosa digitata,NA,NA,NA,NA,NA
102,Mimosa andringitrensis,NA,NA,NA,NA,NA
103,Mimosa planitei,NA,NA,NA,NA,NA
104,Mimosa leimonias,NA,NA,NA,NA,NA
105,Mimosa roseoalba,NA,NA,NA,NA,NA
106,Mimosa urbica,NA,NA,NA,NA,NA
